SYMBOL,DESCRIPTION,cik
FPF,FIRST TR INTER DURATION PFD & ,CIK0001567569
IGLD,FIRST TR CBOE VEST GOLD STRATE,CIK0001090159
FCT,FIRST TR SR FLTG RT INCM FD II,CIK0001282850
FSD,FIRST TRUST HIGH INCOME LONG/S,CIK0001494530
FEI,FIRST TR MLP & ENERGY INCOME,CIK0001556336
FPL,FIRST TR NEW OPPORTUNITIES MLP,CIK0001589420
FDEU,FIRST TR DYNAMIC EUROPE EQUITY,CIK0001646109
FUNC,FIRST UNITED CORP,CIK0000763907
FWRG,FIRST WATCH RESTAURANT GROUP I,CIK0001789940
FWBI,FIRST WAVE BIOPHARMA INC,CIK0001604191
FSV,FIRSTSERVICE CORP NEW COM (CAN,CIK0001637810
FE,FIRSTENERGY CORP,CIK0001031296
FSR,FISKER INC COM CL A (DE),CIK0001720990
FEAM,5E ADVANCED MATLS INC COM,CIK0001888654
FPH,FIVE PT HLDGS LLC CL A COM REP,CIK0001574197
FLXT,FLEXPOINT SENSOR SYSTEMS INC N,CIK0000925660
FPAY,FLEXSHOPPER INC COM NEW,CIK0001397047
FND,FLOOR & DECOR HLDGS INC CL A,CIK0001507079
FLGC,FLORA GROWTH CORP COM (CAN),CIK0001790169
FLNC,FLUENCE ENERGY INC CL A (DE),CIK0001868941
FLNT,FLUENT INC COM STK (DE),CIK0001460329
FCUV,"FOCUS UNIVERSAL, INC. COMMON",CIK0001590418
FIACW,FOCUS IMPACT ACQUISITION CORP ,CIK0001854480
FOCS,FOCUS FINL PARTNERS INC CL A C,CIK0001651052
FHTX,FOGHORN THERAPEUTICS INC COM (,CIK0001822462
FMX,FOMENTO ECONOMICO,CIK0001061736
FONR,FONARD CORPORATION COM,CIK0000355019
FL,FOOT LOCKER INC;COM USD0.01,CIK0000850209
F,FORD MOTOR CO;COM STK USD0.01 ,CIK0000037996
FRSX,FORESIGHT AUTONOMOUS HLDGS LTD,CIK0001691221
FORG,FORGEROCK INC CL A (DE),CIK0001543916
FTS,FORTIS INC (F),CIK0001666175
FTNT,FORTINET INC COM STK (DE),CIK0001262039
FBRX,FORTE BIOSCIENCES,CIK0001419041
FOSL,FOSSIL GROUP INC COM STK (DE) ,CIK0000883569
FOSLL,FOSSIL GROUP INC SR NTS 11/30/,CIK0000883569
FSM,"FORTUNA SILVER MINES, INC.",CIK0001341335
FFNTF,4FRONT VENTURES CORP COM SUB V,CIK0001783875
FCPT,FOUR CORNERS PPTY TR INC COM S,CIK0001650132
FDMT,4D MOLECULAR THERAPEUTICS INC.,CIK0001650648
FOXA,FOX CORP CL A (DE),CIK0001754301
FOX,FOX CORP CL B (DE),CIK0001754301
FOXF,FOX FACTORY HOLDING CORP COM,CIK0001424929
FBRT,FRANKLIN BSP RLTY TR INC COM (,CIK0001562528
BEN,FRANKLIN RESOURCES,CIK0000038777
FGLD,FRANKLIN TEMPLETON HLDGS TR RE,CIK0001858258
FT,FRANKLIN UNIVERSAL TRUST SH BE,CIK0000833040
RAIL,"FREIGHTCAR AMERICA, INC",CIK0001320854
FRPT,"FRESHPET, INC COMMON STOCK",CIK0001611647
VINE,FRESH VINE WINE INC COM (NV),CIK0001880343
FRSH,FRESHWORKS INC CL A,CIK0001544522
FTDR,FRONTDOOR INC COM,CIK0001727263
FYBR,FRONTIER COMMUNICATIONS PARENT,CIK0000020520
FULC,FULCRUM THERAPEUTICS INC COM,CIK0001680581
FLGT,FULGENT GENETICS INC COM,CIK0001674930
YMM,FULL TRUCK ALLIANCE CO LTD SPO,CIK0001838413
FULT,FULTON FINL CORP,CIK0000700564
FNKO,FUNKO INC CL A,CIK0001704711
FF,FUTUREFUEL CORP COM STK,CIK0001337298
FURY,FURY GOLD MINES LTD COM,CIK0001514597
FUSN,FUSION PHARMACEUTICALS INC (CA,CIK0001805890
FUTU,FUTU HLDGS LTD SPONSORED ADS,CIK0001754581
FHLTW,FUTURE HEALTH ESG CORP WT EXP ,CIK0001851182
FVCB,FVCBANKCORP INC,CIK0001675644
GTCH,GBT TECHNOLOGIES INC,CIK0001471781
GEO,GEO GROUP INC (NEW),CIK0000923796
GDS,GDS HLDGS LTD SPONSORED ADR (C,CIK0001526125
GFL,GFL ENVIRONMENTAL INC SUB VTG ,CIK0001780232
GAB,GABELLI EQUITY TRUST INC,CIK0000794685
GUT,GABELLI UTILITY TRUST,CIK0001080720
GDV,GABELLI DIVIDEND & INCOME TRUS,CIK0001260729
GOTU,GAOTU TECHEDU INC (CYM),CIK0001768259
GSRM,GSR II METEORA ACQUISTION CORP,CIK0001901799
GLPG,GALAPAGOS NV SPONSORED ADR (BE,CIK0001421876
GLTO,GALECTO INC COM (DE),CIK0001800315
GRTX,GALERA THERAPEUTICS INC COM,CIK0001563577
GAU,GALIANO GOLD INC COM (CAN),CIK0001377757
AJG,GALLAGHER ARTHUR J.& CO,CIK0000354190
GLPEY,"Galp Energia, SA, Lisboa Unspo",CIK0001385535
GNT,GAMCO NAT RES GOLD & INCOME TR,CIK0001438893
GME,GAMESTOP CORP (HLDG CO) CL A,CIK0001326380
GPS,GAP INC (THE),CIK0000039911
GTX,GARRETT MOTION INC COM,CIK0001735707
GTXAP,GARRETT MOTION INC PFD CONV SE,CIK0001735707
IT,GARTNER INC COM STK,CIK0000749251
GATO,GATOS SILVER INC COM,CIK0001517006
GCMG,GCM GROSVENOR INC COM CL A (DE,CIK0001819796
GLS,GELESIS HLDGS INC COM PAR VALU,CIK0001805087
GNLX,GENELUX CORP COM,CIK0001231457
GNRC,GENERAC HOLDINGS INC DE,CIK0001474735
GD,GENERAL DYNAMICS CORP,CIK0000040533
GE,GEN ELEC CO COM NEW (NY),CIK0000040545
GIS,GENERAL MILLS INC,CIK0000040704
GBIO,GENERATION BIO CO,CIK0001733294
GCO,GENESCO INC,CIK0000018498
GTH,GENETRON HOLDINGS LIMITED ADS ,CIK0001782594
GENQW,GENESIS UNICORN CAP CORP WT EX,CIK0001853112
GNTX,GENTEX CORP,CIK0000355811
GNFT,GENFIT S A ADS (FRA),CIK0001757064
GNPX,GENPREX INC COM STK (DE),CIK0001595248
GPC,GENUINE PARTS CO,CIK0000040987
THRM,GENTHERM INC COM STK (MI),CIK0000903129
GOVX,GEOVAX LABS INC COM PAR $.0001,CIK0000832489
GETY,GETTY IMAGES HLDGS INC CL A(DE,CIK0001898496
GTY,GETTY REALTY CORP(NEW),CIK0001052752
GEVO,GEVO INC COM PAR $.01 NEW,CIK0001392380
GIL,GILDAN ACTIVEWEAR COM SHS,CIK0001061894
DNA,GINKGO BIOWORKS HOLDINGS INC C,CIK0001830214
GOOD,GLADSTONE COMMERCIAL CORP,CIK0001234006
GAIN,GLADSTONE INVESTMENT CORP,CIK0001321741
GAINN,GLADSTONE INVT CORP NT 05/01/2,CIK0001321741
LAND,GLADSTONE LD CORP COM,CIK0001495240
LANDO,GLADSTONE LD CORP CUM RED PFD ,CIK0001495240
LANDM,GLADSTONE LD CORP TERM PFD SER,CIK0001495240
GLASF,GLASS HSE BRANDS INC SUB RESTR,CIK0001848731
GLT,GLATFELTER CORP COM,CIK0000041719
GLBZ,GLEN BURNIE BANCORP,CIK0000890066
GLNCY,GLENCORE PLC UNSPONSORED ADR (,CIK0001524684
GBTG,GLOBAL BUSINESS TRAVEL GROUP I,CIK0001820872
GLLIR,GLOBALINK INVT INC RT,CIK0001888734
GSAT,"GLOBALSTAR, INC COM STK",CIK0001366868
GNL,GLOBAL NET LEASE INC COM NEW,CIK0001526113
GLP,GLOBAL PARTNERS LP COM UTS REP,CIK0001323468
SELF,GLOBAL SELF STORAGE INC COM ST,CIK0001031235
GTII,GLOBAL TECH INDS GROUP INC,CIK0000356590
GBLI,GLOBAL INDTY GROUP LLC CL A SH,CIK0001494904
JETMF,GLOBAL CROSSING AIRLS GROUP IN,CIK0001846084
GBBK,GLOBAL BLOCKCHAIN ACQUISITION ,CIK0001894951
GDDY,GODADDY INC CL A,CIK0001609711
GOGO,GOGO INC COM STK (DE),CIK0001537054
GDRZF,GOLD RESV INC CL A NEW (CAN),CIK0001072725
DVLP,GOLDEN DEVELOPING SOLUTIONS IN,CIK0001736865
GFX,GOLDEN FALCON ACQUISITION CORP,CIK0001823896
GDST,GOLDENSTONE ACQUISITION LTD CO,CIK0001858007
GLDG,GOLDMINING INC COM (CAN),CIK0001538847
GDNSF,GOODNESS GROWTH HLDGS INC COM ,CIK0001771706
GDRX,GOODRX HLDGS INC COM CL A,CIK0001809519
GSHD,GOOSEHEAD INS INC COM CLASS A ,CIK0001726978
GPRO,GOPRO INC CL A COM STK (DE),CIK0001500435
GHIXW,GORES HLDGS IX INC WT EXP(DE)0,CIK0001894630
GOSS,GOSSAMER BIO INC COM (DE),CIK0001728117
GPOX,GPO PLUS INC COM,CIK0001673475
GFOR,GRAF ACQUISITION CORP IV COM(D,CIK0001845459
GPMT,GRANITE PT MTG TR INC COM (MD),CIK0001703644
GRNT,GRANITE RIDGE RES INC COM,CIK0001928446
BAR,GRANITESHARES GOLD TR SHS BEN ,CIK0001690437
GRVY,"GRAVITY CO, LTD SPONSORED ADR ",CIK0001313310
MANA,GRAYSCALE DECENTRALAND TR MANA,CIK0001852023
AJX,GREAT AJAX CORP,CIK0001614806
GSBC,GREAT SOUTHERN BANCORP INC,CIK0000854560
GPP,GREEN PLAINS PARTNERS LP COM U,CIK0001635650
GTBIF,GREEN THUMB INDS INC SUB VTG S,CIK0001795139
GBNH,GREENBROOK TMS INC COM NEW(CAN,CIK0001735948
GREE,GREENIDGE GENERATION HLDGS INC,CIK0001844971
GRNA,GREENLIGHT BIOSCIENCES HLDGS P,CIK0001822691
GRPX,GREENPLEX SVCS INC COM,CIK0001472998
GP,GREENPOWER MTR CO INC COM NEW(,CIK0001584547
GRNQ,GREENPRO CAP CORP COM NEW (NV),CIK0001597846
GHG,GREENTREE HOSPITALITY GROUP,CIK0001724755
GLSI,GREENWICH LIFESCIENCES INC,CIK0001799788
GDYN,"GRID DYNAMICS HOLDINGS, INC. C",CIK0001743725
GIKLY,GRIFOLS SA SPONSORED ADR,CIK0001438569
GRFS,GRIFOLS S A SPON ADR REPSTG 1/,CIK0001438569
GRPN,GROUPON INC COM STK NEW (DE),CIK0001490281
GROV,GROVE COLLABORATIVE HLDGS INC ,CIK0001841761
PHOT,GROWLIFE INC COM PAR $0.0001,CIK0001161582
OMAB,GRUPO AEROPORTUARIO DEL CENTRO,CIK0001378239
ASR,GRUPO AEROPORT ADS (10 SR B),CIK0001123452
SUPV,GRUPO SUPERVIELLE S A SPONS AD,CIK0001517399
GSVRF,GUANAJUATO SILVER CO LTD COM (,CIK0000865400
GNTY,GUARANTY BANCSHARES INC,CIK0001058867
GES,"GUESS ?,INC.",CIK0000912463
GBAB,GUGGENHEIM TAXABLE MUNI BOND &,CIK0001495825
GOF,GUGGENHEIM STRATEGIC OPPT FND ,CIK0001380936
GWRE,GUIDEWIRE SOFTWARE INC COM STK,CIK0001528396
GIFI,GULF ISLAND FABRICATION INC,CIK0001031623
GPOR,GULFPORT ENERGY CORP COM NEW 2,CIK0000874499
DINO,HF SINCLAIR CORPORATION COM (D,CIK0001915657
HBT,HBT FINL INC.COM,CIK0000775215
HDB,HDFC BK LTD ADS (3 EQTY),CIK0001144967
HCI,"HCI GROUP, INC COM",CIK0001400810
HMNF,HMN FINL INC,CIK0000921183
HSBC,HSBC HOLD PLC ADS (REP 5 ORD) ,CIK0001089113
HVBC,HV BANCORP INC COM STK (PA),CIK0001594555
HAE,HAEMONETICS CORP,CIK0000313143
HGTY,HAGERTY INC CLASS A COM STK,CIK0001840776
HALB,HALBERD CORPORATION COMMON STO,CIK0001458631
HOFVW,HALL OF FAME RESORT & ENTMT CO,CIK0001708176
HOFV,HALL OF FAME RESORT & ENTMT CO,CIK0001708176
HLNE,HAMILTON LANE INC CL A (DE),CIK0001433642
BTO,JOHN HANCOCK FINANCIAL OPPORTU,CIK0000925683
HWCPZ,HANCOCK WHITNEY CORP 6.25% SUB,CIK0000750577
JHS,HANCOCK JOHN INCOME SECS TRUST,CIK0000759866
PDT,JOHN HANCOCK PREMIUM DIVIDEND ,CIK0000855886
HTD,JOHN HANCOCK TAX-ADVG DIV INCM,CIK0001260041
HPI,JOHN HANCOCK PFD INCOME FD,CIK0001176199
JHI,HANCOCK JOHN INVSTRS TRST MASS,CIK0000759828
HPS,JOHN HANCOCK PREFERRED INCOM F,CIK0001215913
HBI,HANESBRANDS INC COM STK,CIK0001359841
HASI,HANNON ARMSTRONG SUSTAINABLE,CIK0001561894
HNVR,HANOVER BANCORP INC NEW COM NE,CIK0001828588
INNO,HARBOR ETF TR HARBOR DISRUPTIV,CIK0001281845
HONE,HARBORONE BANCORP INC COM,CIK0001769617
HFBK,HARFORD BANK ABERDEEN MD,CIK0001484737
HLIT,HARMONIC INC,CIK0000851310
HRMY,HARMONY BIOSCIENCES HLDGS INC ,CIK0001802665
HMY,HARMONY GOLD MNG SP ADR-NEW,CIK0001023514
HARP,HARPOON THERAPEUTICS INC COM,CIK0001708493
HSC,HARSCO CORP,CIK0000045876
HHS,"HARTE-HANKS,INC COM NEW",CIK0000045919
HBIO,HAVARD BIOSCIENCE INC,CIK0001123494
HWBK,HAWTHORN BANCSHARES INC COM ST,CIK0000893847
HAYW,HAYWARD HLDGS INC,CIK0001834622
HITC,HEALTHCARE INTEGRATED TECHNOLO,CIK0001584693
HCTI,HEALTHCARE TRIANGLE INC COM,CIK0001839285
HTLD,HEARTLAND EXPRESS INC,CIK0000799233
BEAT,HEARTBEAM INC COM,CIK0001779372
BEATW,HEARTBEAM INC WT PUR COM EXP 1,CIK0001779372
PEAK,HEALTHPEAK PPTYS INC COM (MD) ,CIK0000765880
HLIO,HELIOS TECHNOLOGIES INC COM,CIK0001024795
HLGN,HELIOGEN INC COM,CIK0001840292
MOMO,HELLO GROUP INC ADR (CYM),CIK0001610601
HP,HELMERICH & PAYNE INC,CIK0000046765
HPCO,HEMPACCO CO INC COM(NV),CIK0001892480
HLDCY,HENDERSON LAND DEV LTD SP ADR ,CIK0000811250
HCVI,HENNESSY CAP INVT CORP VI CL A,CIK0001842937
HRI,HERC HLDGS INC COM (DE),CIK0001364479
HTGC,"HERCULES CAPITAL, INC.",CIK0001280784
HCXY,HERCULES CAP INC 6.25% NT DUE ,CIK0001280784
HFWA,HERITAGE FINL CORP,CIK0001046025
HCCI,"HERITAGE-CRYSTAL CLEAN, INC CO",CIK0001403431
HGBL,HERITAGE GLOBAL INC.,CIK0000849145
HTZ,HERTZ GLOBAL HLDGS INC NEW,CIK0001657853
HESM,HESS MIDSTREAM LP CL A SHS (DE,CIK0001789832
HPE,HEWLETT PACKARD ENTERPRISE CO ,CIK0001645590
HEXO,HEXO CORP COM NO PAR (CAN),CIK0001690947
HFRO,HIGHLAND INCOME FUND COM SHS O,CIK0001710680
HPK,HIGHPEAK ENERGY INC COM,CIK0001792849
HLVX,HILLEVAX INC COM(DE),CIK0001888012
HTH,"HILLTOP HOLDINGS, INC",CIK0001265131
HGV,HILTON GRAND VACATIONS INC COM,CIK0001674168
HIMX,HIMAX TECHNOLOGIES INC ADR,CIK0001342338
HQI,"HIREQUEST, INC. COMMON STOCK (",CIK0001140102
HIPO,HIPPO HLDGS INC COM NEW,CIK0001828105
HSTO,HISTOGEN INC COM NEW,CIK0001383701
HIVE,HIVE BLOCKCHAIN TECHNOLOGIES L,CIK0001720424
HOMB,HOME BANCSHARES INC COM STK,CIK0001331520
HD,HOME DEPOT INC,CIK0000354950
HFBL,HOME FED BANCORP INC LA,CIK0001500375
HPLTW,HOME PLATE ACQ.CORP WT EXP (DE,CIK0001863181
HMC,HONDA MOTOR CO ADR ONE (1) COM,CIK0000715153
HNST,HONEST CO INC,CIK0001530979
HOFT,HOOKER FURNISHINGS CORP COM (V,CIK0001077688
HOOK,HOOKIPA PHARMA INC COM (DE),CIK0001760542
HOPE,HOPE BANCORP INC COM,CIK0001128361
HRZN,HORIZON TECHNOLOGY FINANCE COR,CIK0001487428
HST,"HOST HOTELS & RESORTS, INC",CIK0001070750
TWNK,HOSTESS BRANDS INC CL A,CIK0001644406
HLI,HOULIHAN LOKEY INC CL A,CIK0001302215
HUSA,HOUSTON AMERICAN ENERGY CORP C,CIK0001156041
HOVNP,HOVNANIAN ENTERPRISES CL B PFD,CIK0000357294
HWM,HOWMET AEROSPACE INC COM (PA) ,CIK0000004281
HTHT,H WORLD GROUP LIMITED AMERICAN,CIK0001483994
HUBS,HUBSPOT INC COM STK (DE),CIK0001404655
HBM,HUDBAY MINERALS INC,CIK0001322422
HDSN,HUDSON TECHNOLOGIES INC,CIK0000925528
HUIZ,HUIZE HLDG LTD SPONSORED ADS (,CIK0001778982
HUMA,HUMACYTE INC,CIK0001818382
HBANM,HUNTINGTON BANCSHARES INC DEP ,CIK0000049196
HBANP,HUNTINGTON BANCSHARES INC,CIK0000049196
HURN,HURON CONSULTING GROUP INC.,CIK0001289848
HUT,HUT 8 MNG CORP (CANADA),CIK0001731805
HCM,HUTCHMED CHINA LTD,CIK0001648257
HUYA,HUYA INC ADS REPSTG CL A SHS (,CIK0001728190
HYMC,HYCROFT MNG HLDG CORP CL A,CIK0001718405
HYFM,HYDROFARM HLDGS GROUP INC COM ,CIK0001695295
HYPR,HYPERFINE INC CORP CL A,CIK0001833769
ICUI,I C U MEDICAL INC,CIK0000883984
HYZN,HYZON MTRS INC CL A (DE),CIK0001716583
HYZNW,HYZON MTRS INC WT EXP,CIK0001716583
IAUX,I-80 GOLD CORP COM (CANADA),CIK0001853962
IGMS,IGM BIOSCIENCES INC COM,CIK0001496323
IMV,IMV INC COM NEW(CANADA),CIK0001734768
IMAB,I-MAB SPONSORED ADS (CYM),CIK0001778016
IRS,IRSA INVERSIONES G/D DPSH(RP10,CIK0000933267
IRTC,IRHYTHM TECHNOLOGIES INC COM,CIK0001388658
STAR,ISTAR INC,CIK0001095651
ICVX,ICOSAVAX INC COM (DE),CIK0001786255
IDEX,IDEANOMICS INC COM,CIK0000837852
INVE,IDENTIVE INC COM STK NEW (DE) ,CIK0001036044
IGEN,IGEN NETWORKS CORP. COMMON STO,CIK0001393540
IHRT,IHEARTMEDIA INC CL A NEW,CIK0001400891
ILMN,ILLUMINA INC.,CIK0001110803
IMBIL,IMEDIA BRANDS INC SR NT,CIK0000870826
IMGN,IMMUNOGEN INC,CIK0000855654
IMRX,IMMUNEERING CORP CL A (DE),CIK0001790340
IBRX,IMMUNITYBIO INC COM (DE),CIK0001326110
IPA,IMMUNOPRECISE ANTIBODIES LTD,CIK0001715925
IMCR,IMMUNOCORE HLDGS PLC ADS,CIK0001671927
IOR,INCOME OPP RLTY INVESTORS INC ,CIK0000949961
INDP,INDAPTUS THERAPEUTICS INC (DE),CIK0001857044
INDB,INDEPENDENT BANK CORP (MASS),CIK0000776901
IBCP,INDEPENDENT BANK CORP NEW COM ,CIK0000039311
IGC,"IGC PHARMA, INC.",CIK0001326205
IFN,INDIA FUND INC (THE),CIK0000917100
INDI,INDIE SEMICONDUCTOR INC,CIK0001841925
IDEXY,INDUSTRIA DE DISENO TEXTIL IND,CIK0001438656
ITAQW,INDUSTRIAL TECH ACQUISITIONS I,CIK0001841586
IBA,INDUSTRIAS BACHOCO S.A.B DE C.,CIK0001044896
IFNNY,INFINEON TECH AG ADS(REP1 ORD),CIK0001107457
WAVD,WAVEDANCER INC COM (DE),CIK0000803578
ING,ING GROEP NV ADS (BEAR DEP RCT,CIK0001039765
IKT,INHIBIKASE THERAPEUTICS INC,CIK0001750149
INBX,INHIBRX INC COM,CIK0001739614
INM,INMED PHARMACEUTICALS INC COM ,CIK0001728328
INOD,INNODATA INC COM STK (DE),CIK0000903651
INSM,INSMED INC-NEW,CIK0001104506
CTV,INNOVID CORP COM,CIK0001835378
INO,"INOVIO PHARMACEUTICALS, INC. N",CIK0001055726
INST,INSTRUCTURE HLDGS INC COM (DE),CIK0001841804
INND,INNERSCOPE HEARING TECHNOLOGIE,CIK0001609139
IIPR,INNOVATIVE INDL PPTYS INC COMM,CIK0001677576
INSG,INSEEGO CORP COM STK (DE),CIK0001022652
IPSI,INNOVATIVE PMT SOLUTIONS INC,CIK0001591913
NOTV,INOTIV INC COM (IN),CIK0000720154
INNV,INNOVAGE HLDG CORP,CIK0001834376
VATE,INNOVATE CORP,CIK0001006837
INPX,INPIXON COM PAR $0.001 NEW 202,CIK0001529113
INZY,INOZYME PHARMA INC,CIK0001693011
LUCY,INNOVATIVE EYEWEAR INC COM (FL,CIK0001808377
ISPO,INSPIRATO INC CL A,CIK0001820566
INTC,INTEL CORP;COM USD0.001,CIK0000050863
GCTK,GLUCO TRACK INC,CIK0001506983
ITRG,INTEGRA RES CORP COM NEW(CAN) ,CIK0001722387
IQMDW,INTELLIGENT MEDICINE ACQUISITI,CIK0001850051
ICG,INTCHAINS GROUP LTD ADS REPSTG,CIK0001895597
IAS,INTEGRAL AD SCIENCE HLDG CORP ,CIK0001842718
IHG,INTERCONTINENTAL HOTELS GROUP ,CIK0000858446
ICE,INTERCONTINENTAL EXCHANGE INC ,CIK0001571949
IDCC,INTERDIGITAL,CIK0001405495
IP,INTERNATIONAL PAPER CO,CIK0000051434
ISCO,INTERNATIONAL STEM C,CIK0001355790
THM,INTERNATIONAL TOWER HILL MINES,CIK0001134115
IPVF,INTERPRIVATE III FINL PARTNERS,CIK0001839610
QQQ,INVESCO QQQ TR,CIK0001067839
ICMB,INVESTCORP CR MGMT BDC INC (MD,CIK0001578348
INTU,INTUIT INC,CIK0000896878
IPI,"INTREPID POTASH, INC",CIK0001421461
IVA,INVENTIVA SA ADR (FRA),CIK0001756594
IVR,INVESCO MTG CAP INC COM NEW,CIK0001437071
VKQ,INVESCO MUNICIPAL TRUST COM SH,CIK0000877463
VGM,INVESCO TR INVT GRADE MUNS COM,CIK0000880892
VMO,INVESCO MUNI OPP TR COM SHS BE,CIK0000884152
VCV,INVESCO CALIFORNIA VAL MUNI IN,CIK0000895531
IIM,INVESCO VALUE MUNI INCM TR COM,CIK0000885601
OIA,INVESCO MUNI INCM OPPORT TRUST,CIK0000835333
IQI,INVESCO QUALITY MUNI INCM TR C,CIK0000885125
DBC,INVESCO DB COMMODITY INDEX TRA,CIK0001328237
FXE,INVESCO CURRENCYSHARES EURO TR,CIK0001328598
FXB,INVESCO CURRENCYSHARES BRITISH,CIK0001353611
DBB,INVESCO DB MULTI-SECTOR CMDT T,CIK0001383084
UDN,INVESCO DB US DOLLAR INDEX TR ,CIK0001383149
ITIC,INVESTORS TITLE CO,CIK0000720858
NVTA,INVITAE CORP COM,CIK0001501134
IONQ,IONQ INC COM (DE),CIK0001824920
IONS,IONIS PHARMACEUTICALS INC COM ,CIK0000874015
AUID,AUTHID INC,CIK0001534154
IQ,IQIYI INC SPONSORED ADR (CYM) ,CIK0001722608
IRNT,IRONNET INC,CIK0001777946
IRWD,IRONWOOD PHARMACEUTICALS INC C,CIK0001446847
SLV,ISHARES SILVER TRUST,CIK0001330568
ISCB,ISHARES MORNINGSTAR SMALL CAP ,CIK0000051548
IAUM,ISHARES GOLD TR MICRO UNDIVIDE,CIK0001759124
ITUB,ITAU UNIBANCO BANCO HLDGS S.A.,CIK0001132597
INLB,ITEM 9 LABS CORP COM NEW,CIK0001500123
ITOS,ITEOS THERAPEUTICS INC.,CIK0001808865
IE,IVANHOE ELEC INC COM,CIK0001879016
IVDAW,IVEDA SOLUTIONS INC WT EXP 04/,CIK0001397183
YY,JOYY INC ADS REPSTG COM CL A,CIK0001530238
JJSF,J & J SNACK FOODS CORP,CIK0000785956
IZEA,IZEA INC,CIK0001495231
JILL,J JILL INC COM NEW (DE),CIK0001687932
JPM,JPMORGAN CHASE & CO COM STK,CIK0000019617
AMJ,JPMORGAN CHASE & CO ALERIAN ML,CIK0000019617
JPOTF,JACKPOT DIGITAL INC COM NO PAR,CIK0001061612
DC,DAKOTA GOLD CORP COM,CIK0001852353
JAGX,JAGUAR HEALTH INC COM PAR $0.0,CIK0001585608
JHX,JAMES HARDIE INDS PLC ADS (REP,CIK0001159152
JAMF,JAMF HLDG CORP,CIK0001721947
JPXGY,JAPAN EXCHANGE GROUP INC UNSPO,CIK0001600520
JSPR,JASPER THERAPEUTICS INC CL A (,CIK0001788028
JZ,JIANZHI ED TECHNOLOGY GROUP CO,CIK0001852440
JKS,"JINKOSOLAR HOLDING CO., LTD AD",CIK0001481513
JOAN,JOANN INC COM (DE),CIK0001834585
HEQ,JOHN HANCOCK HEDGED EQUITY &,CIK0001496749
JNCE,JOUNCE THERAPEUTICS INC. COM S,CIK0001640455
ZD,"ZIFF DAVIS, INC. COMMON STOCK ",CIK0001084048
JMIA,JUMIA TECHNOLOGIES AG SPONSORE,CIK0001756708
JUN,JUNIPER II CORP CL A (DE),CIK0001838814
JWACR,JUPITER WELLNESS ACQUISITION C,CIK0001883799
JUPW,JUPITER WELLNESS INC COM (DE) ,CIK0001760903
JAQCW,JUPITER ACQUISITION CORP WT EX,CIK0001817868
JUSHF,JUSHI HLDGS INC CL B SUB VTG,CIK0001909747
KAR,KAR AUCTION SVCS INC (DE),CIK0001395942
KBR,KBR INC COM,CIK0001357615
KIO,KKR INCOME OPPORTUNITIES FD CO,CIK0001515940
BEKE,KE HLDGS INC SPONSORER ADS (CY,CIK0001809587
KREF,KKR REAL ESTATE FIN TR INC (MD,CIK0001631596
KKR,KKR & CO INC COM,CIK0001404912
KKRS,KKR GROUP FIN CO IX LLC SUB NT,CIK0001404912
KT,KT CORP ADS (EACH REP 1/2 OF A,CIK0000892450
KAI,KADANT INC.,CIK0000886346
KALA,KALA PHARMACEUTICALS INC. COM ,CIK0001479419
KLR,KALEYRA INC COM NEW (DE),CIK0001719489
KLTR,KALTURA INC COM (DE),CIK0001432133
KALV,KALVISTA PHARMACEUTICALS INC C,CIK0001348911
KNDI,"KANDI TECHNOLGIES,GROUP COMMON",CIK0001316517
BZ,KANZHUN LTD SPONSORED ADS (CYM,CIK0001842827
KRT,KARAT PACKAGING INC COM,CIK0001758021
KPLTW,KATAPULT HLDGS INC WT EXP 06/0,CIK0001785424
KYN,KAYNE ANDERSON ENERGY INFRASTR,CIK0001293613
KMF,KAYNE ANDERSON NEXTGEN ENERGY ,CIK0001500096
KZIA,KAZIA THERAPEUTICS LTD AUS,CIK0001075880
K,KELLOGG CO,CIK0000055067
KELYA,KELLY SERVICES INC CL-A,CIK0000055135
RESI,KELLY STRATEGIC ETF TR STRATEG,CIK0001555039
KROS,KEROS THERAPEUTICS INC COM,CIK0001664710
KDP,KEURIG DR PEPPER INC COM,CIK0001418135
KEY,KEYCORP (NEW),CIK0000091576
KRC,KILROY REALTY CORP,CIK0001025996
KBAL,KIMBALL INTL INC CL B,CIK0000055772
KE,KIMBALL ELECTRONICS INC COMMON,CIK0001606757
KMB,KIMBERLY CLARK CORP,CIK0000055785
KC,KINGSOFT CLOUD HLDGS LTD ADR (,CIK0001795589
KINS,"KINGSTONE COMPANIES, INC COM S",CIK0000033992
KFS,KINGSWAY FINANCIAL SVCS INC (N,CIK0001072627
KNTE,KINNATE BIOPHARMA INC COM (DE),CIK0001797768
KIRK,KIRKLANDS INC,CIK0001056285
KRG,KITE RLTY GROUP TR COM NEW (MD,CIK0001286043
KNX,KNIGHT-SWIFT TRANSN HLDGS INC ,CIK0001492691
KSCP,KNIGHTSCOPE INC CL A,CIK0001600983
KN,KNOWLES CORP COM STK,CIK0001587523
KOD,KODIAK SCIENCES INC COM,CIK0001468748
PHG,KONINKLIJKE PHILIPS N V NEW YO,CIK0000313216
KEP,KOREA ELEC PWR CP ADR(RP1/2SH ,CIK0000887225
KFY,KORN FERRY,CIK0000056679
KORE,KORE GROUP HLDGS INC COM (DE) ,CIK0001855457
