SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20230403|G1R25Q105|BYTS|1928|BYTE ACQUISITION CORP|10.20
20230403|G1R25Q113|BYTSW|23|BYTE ACQUISITION CORP RED WT E|0.15
20230403|G10830100|BYSI|3513|BEYONDSPRING INC ORD SHS (CYM)|1.12
20230403|G1110E107|BHVN|1|BIOHAVEN RESH LTD. USD COM SHS|13.66
20230403|G1117K114|BIOX|120|BIOCERES CROP SOLUTIONS CORP. |11.61
20230403|G1144A105|BTBT|13587|BIT DIGITAL, INC. ORDINARY SHA|1.54
20230403|G1144D125|BTB|12784|BIT BRO LTD SHS NEW USD CL A O|0.86
20230403|G11537100|BSAQ|1501|BLACK SPADE ACQUISITION CO COM|10.27
20230403|G11728139|BLEUR|200|BLEUACACIA LTD RT (CYM)|0.04
20230403|G1195R106|BSGA|100|BLUE SAFARI GROUP ACQUISITION |10.85
20230403|G1261Q115|BLUAWS|4086|BLUERIVER ACQUISITION CORP RED|0.04
20230403|G1466B202|BRQS|72769|BORQS TECHNOLOGIES INC SHS NEW|0.25
20230403|G1466R173|BORR|4269|BORR DRILLING LTD SHS NEW DEC |7.58
20230403|G16234109|BBU|342|BROOKFIELD BUSINESS PARTNERS L|18.62
20230403|G1624R107|BPYPM|8612|BROOKFIELD PPTY PFD LP UNIT LT|16.20
20230403|G16249149|BPYPP|1400|BROOKFIELD PPTY PARTNERS LP PF|15.91
20230403|G16250105|BNRE|460|BROOKFIELD REINS LTD CL A EXCH|32.98
20230403|G16252267|BIPPRA|121|BROOKFIELD INFRASTRUCTURE PART|18.71
20230403|G16252275|BIPPRB|10659|BROOKFIELD INFRASTRUCTURE PART|18.58
20230403|G16258108|BEP|4396|BROOKFIELD RENEWABLE PARTNERS |31.51
20230403|G16258231|BEPPRA|747|BROOKFIELD RENEWABLE PARTNERS |19.74
20230403|G1643W129|BRLIW|800|BRILLIANT ACQUISITION CORP WT |0.03
20230403|G16962105|BG|67|BUNGE LIMITED|95.52
20230403|G1757E113|CMCL|10550|CALEDONIA MNG CORP PLC SHS NEW|15.20
20230403|G17977110|BUR|16244|BURFORD CAPITAL LIMITED, ST PE|11.06
20230403|G1901X108|CACO|1791|CARAVELLE INTL GROUP ORD SHS (|1.14
20230403|G1933S101|CASI|125|CASI PHARMACEUTICALS HLDGS INC|2.30
20230403|G1991X109|BANL|19202|CBL INTL LTD SHS (CYM)|9.50
20230403|G1992N126|PRPCWS|852|CC NEUBERGER PRIN HLDGS III WT|0.20
20230403|G1995D117|CITEW|1|CARTICA ACQUISITION CORP RED W|0.08
20230403|G2R05B126|DPCSW|1250|DP CAP ACQUISITION CORP I WT E|0.04
20230403|G2007L204|CZOO|36623|CAZOO GROUP LTD CL A NEW (CYM)|2.49
20230403|G2058L103|CLAY|1569|CHAVANT CAP ACQUISITION CORP C|11.00
20230403|G2104U107|CHSN|290899|CHANSON INTL HLDG USD CL A ORD|2.11
20230403|G2124G112|CJJD|5162|CHINA JOJO DRUGSTORES INC COM |4.48
20230403|G2143T103|CMPR|2718|CIMPRESS PLC SHS EURO (IRL)|43.82
20230403|G2287A209|ADD|15405|COLOR STAR TECHNOLOGY CO LTD O|1.83
20230403|G2426E104|TRON|111|CORNER GROWTH ACQUISITION CORP|10.59
20230403|G25457105|CRDO|10146|CREDO TECHNOLOGY GROUP HLDG LT|9.42
20230403|G25839104|CCEP|1244|COCA-COLA EUROPACIFIC PARTNERS|59.19
20230403|G27358103|DESP|541|DESPEGAR.COM CORP ORD SH (VGB)|6.14
20230403|G27740102|DISTW|137|DISTOKEN ACQUISITION CORP USD |0.04
20230403|G27740110|DIST|137|DISTOKEN ACQUISITION CORP USD |10.17
20230403|G27740136|DISTR|137|DISTOKEN ACQUISITION CORP USD |0.13
20230403|G28923103|DSEY|110|DIVERSEY HLDGS LTD ORD SHS (CY|8.09
20230403|G29018101|DLO|2194|DLOCAL LTD COM CL A (CYM)|16.22
20230403|G29183103|ETN|27377|EATON CORP PLC (IRL)|171.34
20230403|G2952X112|EJH|23099|E-HOME HOUSEHOLD SVC HLDGS LTD|0.10
20230403|G3R23D102|GGAA|70|GENESIS GROWTH TECH ACQ CORP|10.81
20230403|G3R23D128|GGAAW|100|GENESIS GROWTH TECH ACQUISITIO|0.02
20230403|G3R25D118|HTOO|2131|FUSION FUEL GREEN LTD SHS CL A|2.40
20230403|G30092111|EOCWWS|1966|ELLIOTT OPPORTUNITY II CORP WT|0.08
20230403|G3034H125|EMCGW|34|EMBRACE CHANGE ACQUISITION COR|0.04
20230403|G30449121|ENCPW|214|ENERGEM CORP WT EXP (CYM)|0.08
20230403|G31249108|ESTA|127|ESTABLISHMENT LABS HLDGS INC C|67.74
20230403|G3137C106|ENTF|4|ENTERPRISE 4.0 TECHNOLOGY ACQ.|10.45
20230403|G3137C114|ENTFW|568|ENTERPRISE 4.0 TECHNOLOGY ACQ.|0.04
20230403|G3141W122|EUCRW|151|EUCRATES BIOMEDICAL ACQUISITIO|0.04
20230403|G31658100|ARYE|301152|ARYA SCIENCES ACQUISITION CORP|10.23
20230403|G3167L109|NFYS|1|ENPHYS ACQUISITION CORP CL A (|10.21
20230403|G3167L117|NFYSWS|36|ENPHYS ACQUISITION CORP WT EXP|0.12
20230403|G3198U102|ESNT|327|ESSENT GROUP LTD COM SHS (BMU)|40.05
20230403|G3223R108|RE|619|EVEREST RE GP LTD(BERM)HLDG CO|358.02
20230403|G3312W117|EVGRW|14454|EVERGREEN CORP WT EXP(CYM)02/1|0.09
20230403|G3400W110|FATPW|1500|FAT PROJS ACQ.CORP WT EXP (CYM|0.05
20230403|G35947202|FLNG|205|FLEX LNG LTD SHS NEW|33.58
20230403|G3619H102|FRBN|1|FORBION EUROPEAN ACQUISITION C|10.54
20230403|G36738105|FDP|1|FRESH DEL MONTE PRODUCE(ORD)|30.11
20230403|G3730V105|FTAI|11644|FTAI FIN HOLDCO LTD SHS|27.96
20230403|G38258128|GAQWS|225|GENERATION ASIA I ACQ LTD WT E|0.14
20230403|G3855L106|GHRS|129|GH RESH PLC SHS (IRL)|7.99
20230403|G38644103|GCT|2218|GIGACLOUD TECHNOLOGY INC CL A |6.30
20230403|G3932F106|EPOW|4402|GLOBAL INTERNET OF PEOPLE INC |2.82
20230403|G3934N115|GTACW|972|GLOBAL TECHNOLOGY ACQUISITION |0.09
20230403|G3934V109|GENI|235|GENIUS SPORTS LTD SHS (GGY)|4.98
20230403|G39387108|GFS|241|GLOBALFOUNDRIES INC SHS (CYM) |72.18
20230403|G39714129|HHLAWS|144|HH&L ACQUISITION CO WT EXP (CY|0.06
20230403|G4R39N100|IQAIF|25000|IQ AI LTD SHS (JEY)|0.02
20230403|G4000K100|GRRR|211100|GORILLA TECHNOLOGY GROUP INC O|4.80
20230403|G4000K118|GRRRW|4095|GORILLA TECHNOLOGY GROUP INC W|0.24
20230403|G4013A107|GSUN|553|GOLDEN SUN ED GROUP LTD USD CL|1.50
20230403|G4086B107|GRCY|450|GREENCITY ACQUISITION CORP USD|10.99
20230403|G4124C109|GRAB|114204|GRAB HLDGS LTD CL A ORD (CYM) |3.01
20230403|G41522106|GFGD|100|GROWTH GOOD ACQUISITION CORP C|10.23
20230403|G42041122|GSQBWS|512|G SQUARED ASCEND II INC WT EXP|0.04
20230403|G4233U115|HMACR|702|HAINAN MANASLU ACQUISITION COR|0.22
20230403|G4236L138|GFAI|3484|GUARDFORCE AI CO LTD SHS NEW U|7.08
20230403|G4388N106|HELE|3722|HELEN OF TROY LTD-NEW-BERMUDA |95.17
20230403|G4412G101|HLF|10|HERBALIFE NUTRITION LTD|16.10
20230403|G44525106|PRLH|200|PEARL HLDGS ACQUISITIONS CORP |10.44
20230403|G4474Y214|JHG|76222|HENDERSON GROUP PLC ORD SHS (J|26.64
20230403|G45139105|HKIT|600|HITEK GLOBAL INC SHS (CYM)|5.56
20230403|G4645E105|HUDI|439|HUADI INTL GROUP CO LTD USD OR|3.12
20230403|G4701H109|IHS|66611|IHS HLDG LTD ORD SHS (CYM)|8.76
20230403|G4705A100|ICLR|283|ICON PLC ADR|213.59
20230403|G4760X102|INDO|3172|INDONESIA ENERGY CORP LTD USD |4.77
20230403|G47724201|IFBD|299|INFOBIRD CO LTD|0.59
20230403|G47862100|IFIN|438|INFINT ACQUISITION CORP ORD SH|10.60
20230403|G47862126|IFINWS|681|INFINT ACQUISITION CORP WT EXP|0.08
20230403|G48028123|NFNTWS|700|INFINITE ACQUISITION CORP WT E|0.18
20230403|G4804S101|ILAG|372|INTELLIGENT LIVING APPLICATION|1.02
20230403|G4863A108|IGT|500|INTERNATIONAL GAME TECHNOLOGY |26.80
20230403|G49667119|ISRLW|20|ISRAEL ACQUISITIONS CORP WT EX|0.14
20230403|G5000D129|IXAQU|1000|IX ACQUISITION CORP UNIT 1 CL |10.29
20230403|G50735110|JUGGW|158|JAWS JUGGERNAUT ACQUISITION CO|0.15
20230403|G50737108|JWSM|4|JAWS MUSTANG ACQUISITION CORP |10.03
20230403|G5140V104|ZJYL|12573|JIN MED INTL LTD. USD ORD SHS |7.47
20230403|G51413113|FRGT|76206|FREIGHT TECHNOLOGIES INC SHS N|1.56
20230403|G5194C101|JWEL|4217|JOWELL GLOBAL LTD USD ORD SHS |0.18
20230403|G5223X100|KXIN|167|KAIXIN AUTO HLDGS SHS (CYM)|0.55
20230403|G52251124|KAL|325|KALERA PUB LTD CO SHS NEW (IRL|3.40
20230403|G5259L129|KRNLW|1725|KERNEL GROUP HLDGS INC WT EXP |0.12
20230403|G5269C101|KNSA|291|KINIKSA PHARMACEUTICALS LTD|10.76
20230403|G5279F102|EZGO|15408|EZGO TECHNOLOGIES LTD USD ORD |1.79
20230403|G5346G125|LCAA|5345|L CATTERTON ASIA ACQUISITION C|10.23
20230403|G5352N113|LBBBR|4800|LAKESHORE ACQUISITION II CORP.|0.21
20230403|G5380J100|LANV|992|LANVIN GROUP HLDGS LTD SHS (CY|5.39
20230403|G5391L110|LVROW|1200|LAVORO LTD WT EXP (CYM)|0.63
20230403|G5479G108|LICN|857|LICHEN CHINA LTD USD CL A ORD |2.11
20230403|G5480U120|LBTYK|2636|LIBERTY GLOBAL PLC SHS CL C (U|20.38
20230403|G54950103|LIN|1063|LINDE PLC NEW SHS (IRL)|355.44
20230403|G5753U112|MHLD|165|MAIDEN HOLDINGS LTD COM STK (B|2.09
20230403|G5851A109|LYT|2895|LYTUS TECHNOLOGIES HLDGS PTV L|0.63
20230403|G5859B109|MLACW|1388|MALACCA STRAITS ACQUISITION CO|0.10
20230403|G5859B117|MLAC|345|MALACCA STRAITS ACQUISITION CO|10.58
20230403|G5870E108|MARX|1906|MARS ACQUISITION CORP SHS (CYM|10.15
20230403|G5890A102|MNK|300|MALLINCKRODT PLC NEW SHS(IRL) |7.29
20230403|G5920M118|MRDBWS|132|MARIADB PLC WT EXP 12/16/27 (I|0.24
20230403|G59665102|MGTX|1505|MEIRAGTX HLDGS PLC (CYM)|5.17
20230403|G6S23K124|MACAW|36|MORINGA ACQ CORP USD WTS TO PU|0.09
20230403|G6S38M107|OMH|6217|OHMYHOME LTD USD ORD SHS(CYM) |4.25
20230403|G6095L117|APTVPRA|21|APTIV PLC MANDATORY PFD CONV S|122.74
20230403|G61074129|PIAIWS|2026|PRIME IMPACT ACQUISITION I WT |0.04
20230403|G6181K114|MTC|11757|MMTEC INC SHS NEW US$0.01(VGB)|1.20
20230403|G6359F137|NBR|559|NABORS INDS LTD (NEW) BERMUDA |121.91
20230403|G6483G100|NEGG|2454|NEWEGG COMM INC USD COM SHS (V|1.34
20230403|G65163100|JOBY|25736|JOBY AVIATION INC (CYM)|4.34
20230403|G6529J100|GDEV|8095|NEXTERS INC ORD SHS (VGB)|6.85
20230403|G65431127|NE|75|NOBLE CORP PLC USD0.00001 A AL|39.47
20230403|G6580S106|MBTCR|250|NOCTURNE ACQUISITION CORP USD |0.13
20230403|G66721104|NCLH|766049|NORWEGIAN CRUISE LINE HLDGS LT|13.45
20230403|G6674U108|NVCR|1480|NOVOCURE LTD ORD SHS (JEY)|60.14
20230403|G6683N103|NU|6191|NU HLDGS LTD|4.76
20230403|G6700G107|NVT|409|NVENT ELEC PLC SHS (IRL)|42.94
20230403|G6780C117|ORIAW|39|ORION BIOTECH OPPORTUNITIES CO|0.07
20230403|G67927106|OST|231|OSTIN TECHNOLOGY GROUP CO LTD |0.92
20230403|G68707101|PAGS|524|PAGSEGURO DIGITAL LTD|8.57
20230403|G6891L105|PANL|651|PANGEA LOGISTICS SOLUTIONS LTD|5.87
20230403|G6964L115|PSFEWS|2598|PAYSAFE LTD WT EXP (BMU)|0.09
20230403|G69768110|PGSSWS|716|PEGASUS DIGITAL MOBILITY ACQUI|0.13
20230403|G7S53R104|PROK|105|PROKIDNEY CORP ORD SHS CL A(CY|11.32
20230403|G70021111|PEPLW|1100|PEPPERLIME HEALTH ACQ.CORP WT |0.10
20230403|G7006A109|PERF|128|PERFECT CORP CL A ORD SHS (CYM|5.98
20230403|G7007D110|PCCTW|300|PERCEPTION CAP CORP II RED WT |0.11
20230403|G7185A128|PRTG|4971|PORTAGE BIOTECH INC|3.09
20230403|G72007100|PBTS|147550|POWERBRIDGE TECHNOLOGIES CO LT|0.09
20230403|G72245106|PRE|2994|PRENETICS GLOBAL LTD CL A ORD |0.96
20230403|G7273A121|PRSRU|1232|PROSPECTOR CAP CORP UNIT 1 CL |9.96
20230403|G7308P127|PHYTWS|536|PYROPHYTE ACQUISITION CORP WT |0.12
20230403|G7415M124|RCON|15224|RECON TECHNOLOGY, LTD. CLASS A|0.34
20230403|G7500M104|RNW|2452|RENEW ENERGY GLOBAL PLC SHS CL|5.62
20230403|G75529126|RONIWS|3370|RICE ACQUISITION CORP II WT EX|1.46
20230403|G76279101|ROIV|4067|ROIVANT SCIENCES LTD SHS (BMU)|7.38
20230403|G7709Q104|RPRX|1239|ROYALTY PHARMA PLC SHS CL A (G|36.03
20230403|G7823S101|SATL|5617|SATELLOGIC INC. USD CL A ORD S|2.15
20230403|G7997R103|STX|472|SEAGATE TECH HLDS PLC ORDINARY|66.12
20230403|G8T10C122|TIOAU|1741|TIO TECH A UNIT 1 CL A & 1/3 R|10.20
20230403|G8060N102|ST|12349|SENSATA TECHNOLOGIES HLDG PLC |50.02
20230403|G80694113|SVNAW|939|7 ACQUISITION CORP WT EXP (CYM|0.11
20230403|G81173117|SHUAW|893|SHUAA PARTNERS ACQUISITION COR|0.15
20230403|G8136V104|SLVR|3|SILVERSPAC INC CL A (CYM)|10.23
20230403|G8210L105|SLAM|16|SLAM CORP CL A (CYM)|10.35
20230403|G82220115|SKYAW|4633|SKYDECK ACQUISITION CORP WT EX|0.03
20230403|G8232Y101|SGH|478|SMART GLOBAL HLDGS INC SHS|17.24
20230403|G8267K117|SMXWW|5607|SMX SEC MATTERS PLC WT EXP (IR|0.05
20230403|G83745128|SHAPWS|1615|SPREE ACQUISITION CORP 1 LTD W|0.03
20230403|G8437S115|STBX|24683|STARBOX GROUP HLDGS LTD.SHS NE|3.54
20230403|G8473T100|STE|94|STERIS PLC ORD SHS(IRL)|191.28
20230403|G85094103|APAC|1754|STONEBRIDGE ACQUISITION CORP C|10.55
20230403|G85158106|STNE|370|STONECO LTD CL A (CYM)|9.54
20230403|G8588X103|SGHC|2483|SUPER GROUP SGHC LTD COM|4.03
20230403|G86302125|SWVL|295|SWVL HLDGS CORP|1.34
20230403|G86656108|TOAC|1882|TALON 1 ACQUISITION CORP CL A |10.55
20230403|G86659102|TLOFF|1081|TALON METALS CORP (VIRGIN ISLA|0.27
20230403|G8675V119|TAOP|1183|TAPPING INC, BVI ORDINARY SHAR|0.63
20230403|G87110105|FTI|23674|TECHNIPFMC PLC COM (GBR)|13.65
20230403|G8807B106|TBPH|25880|THERAVANCE BIOPHARMA INC ORD S|10.85
20230403|G89229101|TMTCU|20766|TMT ACQUISITION CORP UNIT 1 SH|10.20
20230403|G89479102|TRMD|132025|TORM PLC SHS CL A|31.13
20230403|G8956E117|TRTLWS|100|TORTOISEECOFIN ACQUISITION COR|0.10
20230403|G8994E103|TT|373|TRANE TECHNOLOGIES PLC SHS (IR|183.98
20230403|G9TY5A101|ZURA|9292|ZURA BIO LTD CL A (CYM)|14.92
20230403|G9TY5A119|ZURAW|138|ZURA BIO LTD WT EXP (CYM)|0.25
20230403|G9059F100|TRAQ|14248|TRINE II ACQUISITION CORP CL A|10.46
20230403|G9059F118|TRAQWS|549|TRINE II ACQUISITION CORP WT E|0.05
20230403|G9078F131|TRTNPRB|2465|TRITON INTL LTD RED PERP PFD C|24.80
20230403|G9094C104|TROO|1623|TROOPS, INC. ORDINARY SHARES|3.32
20230403|G9108L173|TNP|30|TSAKOS ENERGY NAVIGATION LTD|19.43
20230403|G9151L120|TRCAWS|33|TWIN RIDGE CAP ACQUISITION COR|0.07
20230403|G9152V101|TWOA|2500|TWO CL A SHS (CYM)|10.25
20230403|G9320Z125|VHNAU|1|VAHANNA TECH EDGE ACQUISITION |10.41
20230403|G9329Z100|VNTR|112|VENATOR MATLS PLC SHS (GBR)|0.40
20230403|G9440D103|VTRU|1284|VITRU LTD COM (CYM)|22.76
20230403|G9456A100|GLNG|1193|GOLAR LNG LTD (BERMUDA)|21.60
20230403|G9460G119|VALWS|2209|VALARIS LTD WT EXP (BMU)|11.00
20230403|G9471C107|EVTL|1494|VERTICAL AEROSPACE LTD SHS|2.12
20230403|G9473A109|UTAA|3602|UTA ACQUISITION CORP CL A ORD |10.41
20230403|G9473A117|UTAAW|6361|UTA ACQUISITION CORP WT EXP 10|0.24
20230403|G9495L109|VRAX|4246|VIRAX BIOLABS GROUP LTD SHS (C|0.68
20230403|G9503X103|WALD|155|WALDENCAST PLC|8.12
20230403|G9503X111|WALDW|198|WALDENCAST PLC WT EXP 07/27/27|0.58
20230403|G9525W109|WEJO|2198|WEJO GROUP LTD COM (BMU)|0.49
20230403|G9525W117|WEJOW|4955|WEJO GROUP LTD WT EXP (BMU)|0.05
20230403|G98239109|XP|1705|XP INC CL A (CYM)|11.87
20230403|G9831X122|XPAXW|1085|XPAC ACQUISITION CORP WT EXP (|0.10
20230403|G98338109|YTRA|39|YATRA ONLINE INC ORD SHS (CYM)|2.30
20230403|G9834A103|YGF|23198|YANGUFANG INTL GROUP CO. LTD. |3.79
20230403|G9845F117|YSBPW|3282|YISHENGBIO CO LTD USD WTS(CYM)|0.16
20230403|G9889V101|ZENV|773|ZENVIA INC COM CL A (CYM)|1.02
20230403|G989A6102|TOP|442|TOP FINL GROUP LTD USD ORD SHS|5.60
20230403|H00263105|ACIU|48|AC IMMUNE SA SHS (CHE)|2.34
20230403|H0036K147|ADCT|10959|ADC THERAPEUTICS SA SHS|1.95
20230403|H01301128|ALC|19818|ALCON INC. ORDINARY SHARES (CH|70.54
20230403|H17182108|CRSP|21341|CRISPR THERAPEUTICS AG NAMEN A|45.23
20230403|H42097107|UBS|6315|UBS GROUP AG ORD SHS (CHE)|21.34
20230403|H50430232|LOGI|1470|LOGITECH INTERNATIONAL S.A .OR|58.06
20230403|H5861P103|OBSVF|75000|OBSEVA SA COM (CHE)|0.10
20230403|H5870P102|OCS|1977|OCULIS HLDG AG NAMEN AKT (CHE)|7.26
20230403|H5870P110|OCSAW|1|OCULIS HLDG AG|0.34
20230403|H5919C104|ONON|1319|ON HLDG AG NAMEN AKT A (CHE)|31.03
20230403|L0175J104|ASPS|612|ALTISOURCE PORTFOLIO SOLUTIONS|4.60
20230403|L01800108|ALVO|70571|ALVOTECH S A ORD SHS (LUX)|12.90
20230403|L0423Q108|ARVL|11|ARRIVAL GROUP COM (LUX)|0.13
20230403|L4135L100|FREY|602340|FREYR BATTERY SHS (LUX)|8.89
20230403|L6388F110|TIGO|4185|MILLICOM INTL CELLULAR SA REG |18.92
20230403|L6673X107|NGMS|269|NEOGAMES S A SHS USD (LUX)|15.20
20230403|L67359106|NEXA|1732|NEXA RES S A COM (LUX)|6.28
20230403|L7579L106|PRM|1130|PERIMETER SOLUTIONS SA SHS (LU|8.08
20230403|M0740A108|DRTS|2|ALPHA TAU MED LTD ORD SHS (ISR|2.87
20230403|M0854Q105|ALLT|592|ALLOT LTD ORD SHS|2.69
20230403|M2R43K115|BNRG|566|BRENMILLER ENERGY LTD SHARE (I|1.02
20230403|M20598104|CSTE|703|CAESARSTONE LTD ORD SHS (ISR) |4.13
20230403|M2196U109|CELJF|2415|CELLCOM ISRAEL LTD ORD SHS (IS|3.70
20230403|M2197Q115|CLBTW|58|CELLEBRITE DI LTD WT EXP (ISR)|0.88
20230403|M25133105|CGNT|6|COGNYTE SOFTWARE LTD ORD SHS|3.39
20230403|M25722105|CGEN|8|COMPUGEN LTD|0.70
20230403|M2682V108|CYBR|900|CYBERARK SOFTWARE LTD. ORDINAR|147.98
20230403|M3760D101|ESLT|88|ELBIT SYSTEMS LTD|170.21
20230403|M40527117|ENTXW|299|EVERQUOTE, INC. WARRANT (ISR) |0.03
20230403|M4119S104|EVGN|102|EVOGENE LTD ORD SHRS ORD SHARE|0.63
20230403|M46528101|FRO|754|FRONTLINE PLC COM (CYP)|16.56
20230403|M47364100|GMDA|25492|GAMIDA CELL LTD (ISR)|0.81
20230403|M4793C102|GZTGF|44000|G CITY LTD ORDINARY SHARES|3.14
20230403|M5R635108|INVZ|483046|INNOVIZ TECHNOLOGIES LTD SHS (|3.50
20230403|M51474118|GILT|330|GILAT SATELLITE NETWORKS LTD N|5.12
20230403|M52523103|WILC|555|G.WILLI-FOOD INTL INC|14.75
20230403|M53071136|ICCM|5511|ICECURE MED LTD SHS NEW(ISR)|1.15
20230403|M53213100|ICL|4950|ICL GROUP LTD|6.80
20230403|M53637118|IINNW|1307|INSPIRA TECHNOLOGIES OXY B H N|0.25
20230403|M5425M103|INMD|200|INMODE LTD SHS|31.96
20230403|M549GJ111|INCR|437|INTERCURE LTD COM NEW (ISRAEL)|2.04
20230403|M56595206|IGLDF|4744|INTERNET GOLD-GOLDEN LINES LTD|4.00
20230403|M6000J101|HUBC|2264|HUB CYBER SEC LTD ORD SHS (ISR|1.30
20230403|M6000J119|HUBCZ|1|HUB CYBER SEC LTD WT EXP (ISR)|0.87
20230403|M61472110|JFBRW|259|JEFFS BRANDS LTD WT EXP (ISR) |0.11
20230403|M6158M104|ITRN|69|ITURAN LOCATION & CONTROL LTD |21.78
20230403|M6191J100|FROG|1608|JFROG LTD ORD SHS|19.70
20230403|M68830112|MDWD|149|MEDIWOUND LTD ORD SHS NEW|13.32
20230403|M7S64H106|MNDY|68|MONDAY COM LTD SHS IRS|142.75
20230403|M7S750159|NYAX|20|NAYAX LTD SHS NEW(ISRAEL)|17.25
20230403|M70240102|MNDO|1665|MIND C.T.I. LTD|1.98
20230403|M70700105|NNOX|1157|NANO-X IMAGING LTD ORD SHS (IS|5.77
20230403|M7571L103|OTMO|200000|OTONOMO TECHNOLOGIES LTD SHS (|0.48
20230403|M77798102|PRFX|4200|PAINREFORM LTD ORD SHS (ISR)|0.70
20230403|M8216R109|RSKD|23576|RISKIFIED LTD ORD SHS CL A (IS|5.64
20230403|M82363124|SATX|25221|SATIXFY COMMUNICATIONS LTD SHA|0.68
20230403|M84137104|SMWB|3784|SIMILARWEB LTD SHS (ISR)|6.76
20230403|M87915274|TSEM|592|TOWER SEMICONDUCTOR LTD ORD SH|42.47
20230403|M9T951109|ZIM|192778|ZIM INTEGRATED SHIPPING SERVIC|23.58
20230403|M9607U107|VLNWS|1654|VALENS SEMICONDUCTOR LTD WT EX|0.16
20230403|M96088105|URGN|1007|UROGEN PHARMA LTD ORD SHS (ISR|9.24
20230403|M97628107|WKME|130|WALKME LTD ORD SHS (ISR)|10.64
20230403|M98068105|WIX|278|WIX.COM LTD ORDINARY SHS|99.80
20230403|N00985106|AER|500|AERCAP HOLDINGS NV ORD SHS|56.23
20230403|N01045108|AFMD|4685|AFFIMED N V ORDINARY SHARES(NL|0.75
20230403|N0731H103|ATAI|6422|ATAI LIFE SCIENCES N V SHS (NL|1.81
20230403|N0796A100|ALLG|5587|ATHENA PUBCO B V ORD SHS|2.41
20230403|N2451R105|CVAC|44085|CUREVAC N V CUREVAC N V IN CON|6.97
20230403|N3167Y103|RACE|2034|FERRARI N V NEW COM SHS (NLD) |270.94
20230403|N44445109|IMTX|34466|IMMATICS N V ORD SHS (NLD)|6.90
20230403|N44821101|IFRX|153|INFLARX N V COM (NLD)|1.94
20230403|N52586109|LILM|8875715|LILIUM N.V. CORP CL A (NLD)|0.65
20230403|N52586117|LILMW|567|LILIUM N V|0.07
20230403|N53745100|LYB|447|LYONDELLBASELL IND NV ORD SHS |93.89
20230403|N5436L101|MYNZ|6|MAINZ BIOMED N V SHS USD (NLD)|6.27
20230403|N5749R100|MRUS|290|MERUS N V COM (NLD)|18.40
20230403|N62509109|NAMS|928|NEWAMSTERDAM PHARMA CO NV SHS |13.44
20230403|N62509117|NAMSW|18|NEWAMSTERDAM PHARMA CO NV WT E|1.85
20230403|N6596X109|NXPI|633|NXP SEMICONDUCTORS N V|186.48
