,Symbol,Name,Market,SYMBOL,cik
454,TRMB,Trimble Inc.,S&P500,TRMB,CIK0000864749
455,TFC,Truist,S&P500,TFC,CIK0000092230
456,TYL,Tyler Technologies,S&P500,TYL,CIK0000860731
457,TSN,Tyson Foods,S&P500,TSN,CIK0000100493
458,USB,U.S. Bank,S&P500,USB,CIK0000036104
459,UDR,"UDR, Inc.",S&P500,UDR,CIK0000074208
460,ULTA,Ulta Beauty,S&P500,ULTA,CIK0001403568
461,UNP,Union Pacific Corporation,S&P500,UNP,CIK0000100885
462,UAL,United Airlines Holdings,S&P500,UAL,CIK0000100517
463,UPS,United Parcel Service,S&P500,UPS,CIK0001090727
464,URI,United Rentals,S&P500,URI,CIK0001067701
465,UNH,UnitedHealth Group,S&P500,UNH,CIK0000731766
466,UHS,Universal Health Services,S&P500,UHS,CIK0000352915
467,VLO,Valero Energy,S&P500,VLO,CIK0001035002
468,VTR,Ventas,S&P500,VTR,CIK0000740260
469,VRSN,Verisign,S&P500,VRSN,CIK0001014473
470,VRSK,Verisk,S&P500,VRSK,CIK0001442145
471,VZ,Verizon,S&P500,VZ,CIK0000732712
472,VRTX,Vertex Pharmaceuticals,S&P500,VRTX,CIK0000875320
473,VFC,VF Corporation,S&P500,VFC,CIK0000103379
474,VTRS,Viatris,S&P500,VTRS,CIK0001792044
475,VICI,Vici Properties,S&P500,VICI,CIK0001705696
476,V,Visa Inc.,S&P500,V,CIK0001403161
477,VMC,Vulcan Materials Company,S&P500,VMC,CIK0001396009
478,WAB,Wabtec,S&P500,WAB,CIK0000943452
479,WBA,Walgreens Boots Alliance,S&P500,WBA,CIK0001618921
480,WMT,Walmart,S&P500,WMT,CIK0000104169
481,WBD,Warner Bros. Discovery,S&P500,WBD,CIK0001437107
482,WM,Waste Management,S&P500,WM,CIK0000823768
483,WAT,Waters Corporation,S&P500,WAT,CIK0001000697
484,WEC,WEC Energy Group,S&P500,WEC,CIK0000783325
485,WFC,Wells Fargo,S&P500,WFC,CIK0000072971
486,WELL,Welltower,S&P500,WELL,CIK0000766704
487,WST,West Pharmaceutical Services,S&P500,WST,CIK0000105770
488,WDC,Western Digital,S&P500,WDC,CIK0000106040
489,WRK,WestRock,S&P500,WRK,CIK0001732845
490,WY,Weyerhaeuser,S&P500,WY,CIK0000106535
491,WHR,Whirlpool Corporation,S&P500,WHR,CIK0000106640
492,WMB,Williams Companies,S&P500,WMB,CIK0000107263
493,WTW,Willis Towers Watson,S&P500,WTW,CIK0001140536
494,GWW,W. W. Grainger,S&P500,GWW,CIK0000277135
495,WYNN,Wynn Resorts,S&P500,WYNN,CIK0001174922
496,XEL,Xcel Energy,S&P500,XEL,CIK0000072903
497,XYL,Xylem Inc.,S&P500,XYL,CIK0001524472
498,YUM,Yum! Brands,S&P500,YUM,CIK0001041061
499,ZBRA,Zebra Technologies,S&P500,ZBRA,CIK0000877212
500,ZBH,Zimmer Biomet,S&P500,ZBH,CIK0001136869
501,ZION,Zions Bancorporation,S&P500,ZION,CIK0000109380
502,ZTS,Zoetis,S&P500,ZTS,CIK0001555280
503,ATVI,Activision Blizzard,NASDAQ-100,ATVI,CIK0000718877
504,ADBE,Adobe Inc.,NASDAQ-100,ADBE,CIK0000796343
505,AMD,Advanced Micro Devices,NASDAQ-100,AMD,CIK0000002488
506,ALXN,Alexion Pharmaceuticals,NASDAQ-100,ALXN,
507,ALGN,Align Technology,NASDAQ-100,ALGN,CIK0001097149
508,GOOGL,Alphabet Inc.,NASDAQ-100,GOOGL,CIK0001652044
509,AMZN,Amazon,NASDAQ-100,AMZN,CIK0001018724
510,AAL,American Airlines Group,NASDAQ-100,AAL,CIK0000006201
511,AMGN,Amgen,NASDAQ-100,AMGN,CIK0000318154
512,ADI,Analog Devices,NASDAQ-100,ADI,CIK0000006281
513,AAPL,Apple,NASDAQ-100,AAPL,
514,AMAT,Applied Materials,NASDAQ-100,AMAT,CIK0000006951
515,ASML,ASML Holding,NASDAQ-100,ASML,CIK0000937966
516,ADSK,Autodesk,NASDAQ-100,ADSK,CIK0000769397
517,ADP,Automatic Data Processing,NASDAQ-100,ADP,CIK0000008670
518,BIDU,Baidu,NASDAQ-100,BIDU,CIK0001329099
519,BIIB,Biogen Idec,NASDAQ-100,BIIB,CIK0000875045
520,BMRN,BioMarin Pharmaceutical,NASDAQ-100,BMRN,CIK0001048477
521,BKNG,Booking Holdings,NASDAQ-100,BKNG,CIK0001075531
522,AVGO,Broadcom Inc.,NASDAQ-100,AVGO,CIK0001730168
523,CDNS,Cadence Design Systems,NASDAQ-100,CDNS,CIK0000813672
524,CELG,Celgene,NASDAQ-100,CELG,
525,CERN,Cerner Corporation,NASDAQ-100,CERN,
526,CHTR,Charter Communications,NASDAQ-100,CHTR,CIK0001091667
527,CHKP,Check Point,NASDAQ-100,CHKP,CIK0001015922
528,CTAS,Cintas Corporation,NASDAQ-100,CTAS,CIK0000723254
529,CSCO,Cisco Systems,NASDAQ-100,CSCO,CIK0000858877
530,CTXS,Citrix Systems,NASDAQ-100,CTXS,
531,CTSH,Cognizant,NASDAQ-100,CTSH,CIK0001058290
532,CMCSA,Comcast,NASDAQ-100,CMCSA,CIK0001166691
533,COST,Costco,NASDAQ-100,COST,CIK0000909832
534,CSX,CSX Corporation,NASDAQ-100,CSX,CIK0000277948
535,CTRP,Ctrip,NASDAQ-100,CTRP,
536,DLTR,Dollar Tree,NASDAQ-100,DLTR,CIK0000935703
537,EBAY,eBay,NASDAQ-100,EBAY,CIK0001065088
538,EA,Electronic Arts,NASDAQ-100,EA,CIK0000712515
539,EXPE,Expedia,NASDAQ-100,EXPE,CIK0001324424
540,FB,Facebook,NASDAQ-100,FB,
541,FAST,Fastenal,NASDAQ-100,FAST,CIK0000815556
542,FISV,Fiserv,NASDAQ-100,FISV,CIK0000798354
543,"FOX, FOXA",Fox Corporation,NASDAQ-100,"FOX, FOXA",
544,GILD,Gilead Sciences,NASDAQ-100,GILD,CIK0000882095
545,HAS,Hasbro,NASDAQ-100,HAS,CIK0000046080
546,HSIC,Henry Schein,NASDAQ-100,HSIC,CIK0001000228
547,IDXX,Idexx Laboratories,NASDAQ-100,IDXX,CIK0000874716
548,ILMN,Illumina,NASDAQ-100,ILMN,CIK0001110803
549,INCY,Incyte,NASDAQ-100,INCY,CIK0000879169
550,INTC,Intel Corporation,NASDAQ-100,INTC,CIK0000050863
551,INTU,Intuit,NASDAQ-100,INTU,CIK0000896878
552,ISRG,Intuitive Surgical,NASDAQ-100,ISRG,CIK0001035267
553,JBHT,J. B. Hunt,NASDAQ-100,JBHT,CIK0000728535
554,JD,JD.com,NASDAQ-100,JD,CIK0001549802
555,KLAC,KLA-Tencor,NASDAQ-100,KLAC,CIK0000319201
556,LRCX,Lam Research,NASDAQ-100,LRCX,CIK0000707549
557,"LBTYA, LBTYK",Liberty Global,NASDAQ-100,"LBTYA, LBTYK",
558,LULU,Lululemon Athletica,NASDAQ-100,LULU,CIK0001397187
559,MAR,Marriott International,NASDAQ-100,MAR,CIK0001048286
560,MXIM,Maxim Integrated,NASDAQ-100,MXIM,
561,MELI,MercadoLibre,NASDAQ-100,MELI,CIK0001099590
562,MCHP,Microchip Technology,NASDAQ-100,MCHP,CIK0000827054
563,MU,Micron Technology,NASDAQ-100,MU,CIK0000723125
564,MSFT,Microsoft,NASDAQ-100,MSFT,CIK0000789019
565,MDLZ,Mondel?z International,NASDAQ-100,MDLZ,CIK0001103982
566,MNST,Monster Beverage,NASDAQ-100,MNST,CIK0000865752
567,MYL,Mylan,NASDAQ-100,MYL,
568,NTAP,NetApp,NASDAQ-100,NTAP,CIK0001002047
569,NTES,NetEase,NASDAQ-100,NTES,CIK0001110646
570,NFLX,Netflix,NASDAQ-100,NFLX,CIK0001065280
571,NVDA,Nvidia,NASDAQ-100,NVDA,CIK0001045810
572,NXPI,NXP Semiconductors,NASDAQ-100,NXPI,CIK0001413447
573,ORLY,OReilly Auto Parts,NASDAQ-100,ORLY,CIK0000898173
574,PCAR,Paccar,NASDAQ-100,PCAR,CIK0000075362
575,PAYX,Paychex,NASDAQ-100,PAYX,CIK0000723531
576,PYPL,PayPal,NASDAQ-100,PYPL,CIK0001633917
577,PEP,PepsiCo,NASDAQ-100,PEP,CIK0000077476
578,QCOM,Qualcomm,NASDAQ-100,QCOM,CIK0000804328
579,REGN,Regeneron Pharmaceuticals,NASDAQ-100,REGN,CIK0000872589
580,ROST,Ross Stores,NASDAQ-100,ROST,CIK0000745732
581,SIRI,Sirius XM Holdings,NASDAQ-100,SIRI,CIK0000908937
582,SWKS,Skyworks Solutions,NASDAQ-100,SWKS,CIK0000004127
583,SBUX,Starbucks,NASDAQ-100,SBUX,CIK0000829224
584,SYMC,Symantec,NASDAQ-100,SYMC,
585,SNPS,Synopsys,NASDAQ-100,SNPS,CIK0000883241
586,TTWO,Take-Two Interactive,NASDAQ-100,TTWO,CIK0000946581
587,TSLA,"Tesla, Inc.",NASDAQ-100,TSLA,CIK0001318605
588,TXN,Texas Instruments,NASDAQ-100,TXN,CIK0000097476
589,KHC,Kraft Heinz,NASDAQ-100,KHC,CIK0001637459
590,TMUS,T-Mobile US,NASDAQ-100,TMUS,CIK0001283699
591,ULTA,Ulta Beauty,NASDAQ-100,ULTA,CIK0001403568
592,UAL,United Airlines Holdings,NASDAQ-100,UAL,CIK0000100517
593,VRSN,Verisign,NASDAQ-100,VRSN,CIK0001014473
594,VRSK,Verisk Analytics,NASDAQ-100,VRSK,CIK0001442145
595,VRTX,Vertex Pharmaceuticals,NASDAQ-100,VRTX,CIK0000875320
596,WBA,Walgreens Boots Alliance,NASDAQ-100,WBA,CIK0001618921
597,WDC,Western Digital,NASDAQ-100,WDC,CIK0000106040
598,WLTW,Willis Towers Watson,NASDAQ-100,WLTW,
599,WDAY,Workday,NASDAQ-100,WDAY,CIK0001327811
600,WYNN,Wynn Resorts,NASDAQ-100,WYNN,CIK0001174922
601,XEL,Xcel Energy,NASDAQ-100,XEL,CIK0000072903
602,XLNX,Xilinx,NASDAQ-100,XLNX,
